value,serveur_id,diff,rolling_std,anomaly
0.132,24ae8d,,,0
0.134,24ae8d,0.0020000000000000018,,0
0.134,24ae8d,0.0,,0
0.134,24ae8d,0.0,,0
0.134,24ae8d,0.0,0.0008944271909999194,0
0.134,24ae8d,0.0,0.0,0
0.134,24ae8d,0.0,0.0,0
0.134,24ae8d,0.0,0.0,0
0.066,24ae8d,-0.068,0.030410524493997143,0
0.132,24ae8d,0.066,0.030199337741083,0
0.134,24ae8d,0.0020000000000000018,0.030199337741083,0
0.066,24ae8d,-0.068,0.03688902275745456,0
0.132,24ae8d,0.066,0.03652396473549935,0
0.2019999999999999,24ae8d,0.0699999999999999,0.048095737856903666,0
0.068,24ae8d,-0.1339999999999999,0.05630985704119657,0
0.134,24ae8d,0.066,0.05630985704119657,0
0.132,24ae8d,-0.0020000000000000018,0.04740042193905025,0
0.134,24ae8d,0.0020000000000000018,0.0473919824442911,0
0.134,24ae8d,0.0,0.029305289624912436,0
0.136,24ae8d,0.0020000000000000018,0.0014142135623729283,0
0.132,24ae8d,-0.0040000000000000036,0.0016733200530680164,0
0.134,24ae8d,0.0020000000000000018,0.0014142135623729283,0
0.134,24ae8d,0.0,0.0014142135623729283,0
0.066,24ae8d,-0.068,0.03044339008717657,0
0.134,24ae8d,0.068,0.030199337741083007,0
0.134,24ae8d,0.0,0.030410524493997147,0
0.066,24ae8d,-0.068,0.037245133910351315,0
0.134,24ae8d,0.068,0.037245133910351315,0
0.134,24ae8d,0.0,0.03041052449399715,0
0.134,24ae8d,0.0,0.03041052449399715,0
0.132,24ae8d,-0.0020000000000000018,0.030199337741083007,0
0.136,24ae8d,0.0040000000000000036,0.0014142135623729283,0
0.134,24ae8d,-0.0020000000000000018,0.0014142135623729283,0
0.134,24ae8d,0.0,0.0014142135623729283,0
0.132,24ae8d,-0.0020000000000000018,0.0016733200530680164,0
0.132,24ae8d,0.0,0.0016733200530680164,0
0.134,24ae8d,0.0020000000000000018,0.001095445115010132,0
0.134,24ae8d,0.0,0.001095445115010132,0
0.066,24ae8d,-0.068,0.029979993328885204,0
0.134,24ae8d,0.068,0.030199337741083018,0
0.134,24ae8d,0.0,0.030410524493997157,0
0.2019999999999999,24ae8d,0.0679999999999999,0.048083261120685186,0
0.134,24ae8d,-0.0679999999999999,0.048083261120685186,0
0.134,24ae8d,0.0,0.030410524493997053,0
0.134,24ae8d,0.0,0.030410524493997053,0
0.068,24ae8d,-0.066,0.04737932038347528,0
0.132,24ae8d,0.064,0.029305289624912464,0
0.134,24ae8d,0.0020000000000000018,0.029305289624912464,0
0.134,24ae8d,0.0,0.029305289624912464,0
0.134,24ae8d,0.0,0.029305289624912464,0
0.134,24ae8d,0.0,0.0008944271910000866,0
0.134,24ae8d,0.0,0.0,0
0.134,24ae8d,0.0,0.0,0
0.134,24ae8d,0.0,0.0,0
0.066,24ae8d,-0.068,0.030410524493997167,0
0.134,24ae8d,0.068,0.030410524493997167,0
0.134,24ae8d,0.0,0.030410524493997167,0
0.134,24ae8d,0.0,0.030410524493997167,0
0.066,24ae8d,-0.068,0.03724513391035134,0
0.132,24ae8d,0.066,0.03019933774108303,0
0.134,24ae8d,0.0020000000000000018,0.03019933774108303,0
0.2,24ae8d,0.066,0.04738354144637145,0
0.132,24ae8d,-0.068,0.04738354144637145,0
0.134,24ae8d,0.0020000000000000018,0.029979993328885166,0
0.136,24ae8d,0.0020000000000000018,0.02954995769878527,0
0.132,24ae8d,-0.0040000000000000036,0.029785902705810326,0
0.066,24ae8d,-0.066,0.030232432915662005,0
0.134,24ae8d,0.068,0.030443390087176614,0
0.134,24ae8d,0.0,0.030443390087176614,0
0.134,24ae8d,0.0,0.030199337741083056,0
0.2,24ae8d,0.066,0.04737932038347533,0
0.132,24ae8d,-0.068,0.02975231083462255,0
0.136,24ae8d,0.0040000000000000036,0.02954995769878526,0
0.134,24ae8d,-0.0020000000000000018,0.02954995769878526,0
0.134,24ae8d,0.0,0.02954995769878526,0
0.134,24ae8d,0.0,0.001414213562373534,0
0.066,24ae8d,-0.068,0.0306463700950048,0
0.134,24ae8d,0.068,0.030410524493997212,0
0.134,24ae8d,0.0,0.030410524493997212,0
0.134,24ae8d,0.0,0.030410524493997212,0
0.134,24ae8d,0.0,0.030410524493997212,0
0.132,24ae8d,-0.0020000000000000018,0.0008944271910006361,0
0.066,24ae8d,-0.066,0.030199337741083073,0
0.134,24ae8d,0.068,0.030199337741083073,0
0.132,24ae8d,-0.0020000000000000018,0.029979993328885256,0
0.134,24ae8d,0.0020000000000000018,0.029979993328885256,0
0.132,24ae8d,-0.0020000000000000018,0.029979993328885256,0
0.066,24ae8d,-0.066,0.029979993328885256,0
0.134,24ae8d,0.068,0.029979993328885256,0
0.132,24ae8d,-0.0020000000000000018,0.029979993328885256,0
